data-revisit-plants_info-on-date_tagged,data-revisit-plants_info-site_code_tagged,tag.no,sci.name,data-revisit-plants_info-deadalive,data-revisit-plants_info-height,data-revisit-plants_info-rcd,data-revisit-plants_info-yes_no1,data-revisit-plants_info-disturbance,data-revisit-plants_info-flame_h,data-revisit-plants_info-yes_no,data-revisit-plants_info-spot,data-revisit-plants_info-photo_bud,PARENT_KEY,KEY
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4792,Dalbergia paniculata,alive,45,0.6,yes,fire,150,yes,collar,https://drive.google.com/open?id=1aU-l6NVwvmSWYy6HPhxYFCq89xtH9bif,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[17]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4793,Wrightia tinctoria,alive,38,2.1,yes,fire,110,yes,collar,https://drive.google.com/open?id=1uspHaqOHioKne4CaF3tDO1eemmPpJ9YF,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[18]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4790,Cassia fistula,alive,37,1.9,yes,fire,100,yes,collar,https://drive.google.com/open?id=1ZT5Pw4oJXDdNz0MDCvjoYLeXp5vePmSh,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[19]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4791,Cassia fistula,alive,24,1.3,yes,fire,100,yes,collar,https://drive.google.com/open?id=1era90eJ2ajDoyiAmIYDkHsEO5wTCKAKy,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[20]
2021-05-30T09:02:00.000+05:30,APA12-all_burnt,4789,Azadirachata indica,alive,40,1.9,yes,fire,100,yes,collar,https://drive.google.com/open?id=1KAQ0Vl0DOQ7J6zxYiqDKa68FdL8BC2kS,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d,uuid:a2872d2b-30f9-4247-b68d-b76514d0952d/revisit[21]
2021-05-30T09:49:00.000+05:30,APA12-bodha_grass_removed_no_fire,4917,Azadirachata indica,alive,66,1.1,yes,fire,50,yes,epicormic,https://drive.google.com/open?id=1yNUAt26ey89Cwr2bqVTC2XSV6yunRO7A,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2/revisit[1]
2021-05-30T09:49:00.000+05:30,APA12-bodha_grass_removed_no_fire,4918,Dolichandrone atrovirens,alive,107,2.2,no, , ,yes,axillary,https://drive.google.com/open?id=1Nt_s5-L4jVGQ4qrUsaW-wbxS2YRd0qhZ,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2/revisit[2]
2021-05-30T09:49:00.000+05:30,APA12-bodha_grass_removed_no_fire,4916,Albizia amara,alive,23,1.1,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=1OB6GuLiibkCoLqrr8JzCmycx7TdBxnc4,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2/revisit[3]
2021-05-30T09:49:00.000+05:30,APA12-bodha_grass_removed_no_fire,4915,Dalbergia paniculata,alive,153,3.1,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=1s7kFQgi4wGKvGv5Uy0TLGVjCJ87oSDZh,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2/revisit[4]
2021-05-30T09:49:00.000+05:30,APA12-bodha_grass_removed_no_fire,4914,Albizia amara,alive,43,2.1,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=1auLvHPvcrFmM3T3BTF0RvtwF81bWN5JO,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2/revisit[5]
