"treatment","village","site","sci.name","tag.no","h1","rcd1","disturbance","h0","rcd0","LUI","rgr"
"CAFA","APA12","APA12_CAFA","Azadirachata indica",4917,70,1.5,"browsed",20,0.3,1.56,1.6094379124341
"CAFA","APA12","APA12_CAFA","Dolichandrone atrovirens",4918,60,1.9,"trampled",70,1.3,1.56,0.379489621704904
"CAFA","APA21","APA21_CAFA","Premna tomentosa",4927,60,1.9,"partly_dried",88,1.1,1.38,0.54654370636807
"CAFA","APA21","APA21_CAFA","Premna tomentosa",4928,95,1.5,"partly_dried",100,1.2,1.38,0.22314355131421
"CAFA","APA21","APA21_CAFA","Cassia fistula",4930,55,1.1,"partly_dried",19,0.4,1.38,1.01160091167848
"CAFA","APA21","APA21_CAFA","Premna tomentosa",4931,80,0.9,"partly_dried",86,1.2,1.38,-0.287682072451781
"CAFA","APA21","APA21_CAFA","Azadirachata indica",4932,80,0.9,"none",62,1.1,1.38,-0.200670695462151
"CAFA","APA21","APA21_CAFA","Dalbergia paniculata",4933,65,1.1,"none",68,1.1,1.38,0
"CAFA","APA21","APA21_CAFA","Wrightia tinctoria",4934,180,3.2,"none",40,0.5,1.38,1.85629799036563
"CAFA","APA21","APA21_CAFA","Dalbergia paniculata",4936,130,1.8,"none",50,0.5,1.38,1.28093384546206
"CAFA","APA21","APA21_CAFA","Azadirachata indica",4937,60,0.9,"none",35,0.4,1.38,0.810930216216329
"CAFA","APA21","APA21_CAFA","Dalbergia paniculata",4938,200,3.9,"none",60,0.5,1.38,2.05412373369555
"CAFA","APA21","APA21_CAFA","Dalbergia paniculata",4939,80,1.8,"partly_dried",38,0.6,1.38,1.09861228866811
"CAFA","APA21","APA21_CAFA","Azadirachata indica",4940,110,1.6,"none",33,0.5,1.38,1.16315080980568
"CAFA","APA21","APA21_CAFA","Dalbergia paniculata",4941,105,1.8,"partly_dried",60,0.5,1.38,1.28093384546206
"CAFA","APA21","APA21_CAFA","Premna tomentosa",4942,55,0.7,"none",50,0.7,1.38,0
"CAFA","APA21","APA21_CAFA","Dalbergia paniculata",4943,40,0.5,"partly_dried",70,0.7,1.38,-0.336472236621213
"CAFA","APA21","APA21_CAFA","Dalbergia paniculata",4944,85,0.9,"none",15,0.6,1.38,0.405465108108164
"CAFA","APA21","APA21_CAFA","Dalbergia paniculata",4945,40,0.7,"none",50,0.5,1.38,0.336472236621213
"CAFA","APA21","APA21_CAFA","Dalbergia paniculata",4946,50,0.8,"partly_dried",20,0.5,1.38,0.470003629245736
"CAFA","APA21","APA21_CAFA","Cassia fistula",4947,70,0.8,"none",16,0.4,1.38,0.693147180559945
"CAFA","APA21","APA21_CAFA","Dalbergia paniculata",4949,80,1.5,"none",75,1.3,1.38,0.143100843640673
"CAFA","APA21","APA21_CAFA","Wrightia tinctoria",4950,90,1.1,"none",90,1.3,1.38,-0.167054084663166
"CAFA","APA21","APA21_CAFA","Dolichandrone atrovirens",4951,30,1.5,"none",30,0.6,1.38,0.916290731874155
"CAFA","APC8","APC8_CAFA","Tamarindus indica",3711,110,1.7,"none",73,0.5,0.94,1.22377543162212
"CAFA","APC8","APC8_CAFA","Wrightia tinctoria",3730,170,2.7,"none",17,0.4,0.94,1.90954250488444
"CAFA","APC9","APC9_CAFA","Limonia acidissima",3774,90,1.4,"none",35,0.4,1,1.25276296849537
