,site,village,treatment,tag.no,sci.name,dead.alive,height,rcd,disturbance,flame.height,type.resprout
192,APC7_CPFA,APC7,CPFA,3704,Chloroxylon swietenia,alive,60,19,none,0,regular_growth
193,APC7_CPFA,APC7,CPFA,3705,Chloroxylon swietenia,alive,100,20,none,0,regular_growth
194,APC7_CPFA,APC7,CPFA,3749,Cassia fistula,alive,107,20,none,0,regular_growth
195,APC7_CPFA,APC7,CPFA,3719,Chloroxylon swietenia,dead,NA,NA,trampled,0,NA
196,APC2_CAFA,APC2,CAFA,3736,Gardenia gummifera,alive,45,10,none,0,regular_growth
197,APC2_CAFA,APC2,CAFA,3739,Dalbergia paniculata,alive,250,22,none,0,regular_growth
198,APC4_CAFA,APC4,CAFA,1418,Dolichandrone atrovirens,alive,88,2.5,browsed,0,axillary
199,APC4_CAFA,APC4,CAFA,1419,Dolichandrone atrovirens,alive,106,2.8,browsed,0,axillary
200,APC4_CAFA,APC4,CAFA,1420,Dolichandrone atrovirens,alive,27,1.8,browsed,0,axillary
201,APC4_CAFA,APC4,CAFA,1421,Dolichandrone atrovirens,alive,40,1.4,trampled,0,axillary
202,APC4_CAFA,APC4,CAFA,1422,Dolichandrone atrovirens,alive,70,2.4,browsed,0,axillary
203,APC4_CAFA,APC4,CAFA,1424,Dolichandrone atrovirens,alive,3,0.2,drought,0,collar
204,APC4_CAFA,APC4,CAFA,1423,Dolichandrone atrovirens,alive,14,0.5,drought,0,collar
205,APC4_CAFA,APC4,CAFA,1425,Dolichandrone atrovirens,alive,18,3.4,trampled,0,collar
206,APC4_CAFA,APC4,CAFA,1426,Dolichandrone atrovirens,alive,105,3.5,drought,0,axillary
207,APC4_CAFA,APC4,CAFA,1427,Dolichandrone atrovirens,alive,35,1.6,drought,0,axillary
208,APC4_CAFA,APC4,CAFA,1428,Dolichandrone atrovirens,alive,40,1.9,drought,0,axillary
209,APC4_CAFA,APC4,CAFA,1429,Dolichandrone atrovirens,alive,13,0.6,trampled,0,collar
210,APC4_CAFA,APC4,CAFA,1430,Dolichandrone atrovirens,alive,91,2.9,browsed,0,axillary
211,APC4_CAFA,APC4,CAFA,1431,Dolichandrone atrovirens,alive,103,3.2,browsed,0,axillary
212,APC4_CAFA,APC4,CAFA,1432,Dolichandrone atrovirens,alive,29,0.5,trampled,0,collar
213,APC4_CAFA,APC4,CAFA,1433,Dolichandrone atrovirens,alive,10,1.5,trampled,0,collar
214,APC4_CAFA,APC4,CAFA,1434,Dolichandrone atrovirens,alive,9,1.8,browsed,0,collar
215,APC4_CAFA,APC4,CAFA,1435,Dolichandrone atrovirens,alive,7,0.2,browsed,0,collar
216,APC4_CAFA,APC4,CAFA,1436,Dolichandrone atrovirens,alive,37,1.9,trampled,0,axillary
217,APC1_CAFA,APC1,CAFA,1001,Diospyros melanoxylon,alive,22,0.4,trampled,0,collar
