site_code,sapling_name,sapling_tag_no,treatment,type_recruit,Note on revisit,sapling_coordinate,sapling_altitude,sapling_coordinate-accuracy,sapling_height (cm),sapling_rcd (cm),sapling_line_to_sapling (m),sapling_to_sapling (m),sapling_disturbance,PARENT_KEY,KEY,site
APC3,Acacia chundra,1305,all_burnt,clonal offspring,from an old sapling,"13.82816881,78.41302805",457.6098633,4.288,90,0.6,5,4,none,uuid:9dabc10a-b600-4608-9698-a8ccb38fe0e4,uuid:9dabc10a-b600-4608-9698-a8ccb38fe0e4/sapling_repeat[6],APC3all_burnt
APC12,Acacia chundra,4691,bodha_grass_present_no_fire,clonal offspring,,"13.89257826,78.41369359",421,4.5509996,90,0.9,1.8,0.4,none,uuid:21ad8535-3e2e-4066-88cc-bec794453533,uuid:21ad8535-3e2e-4066-88cc-bec794453533/sapling_repeat[12],APC12bodha_grass_present_no_fire
APC3,Chloroxylon swietenia,1310,all_burnt,clonal offspring,,"13.827943,78.41315171",464.0305786,3.216,90,1.1,8,0.1,none,uuid:9dabc10a-b600-4608-9698-a8ccb38fe0e4,uuid:9dabc10a-b600-4608-9698-a8ccb38fe0e4/sapling_repeat[11],APC3all_burnt
APC4,Dolichandrone atrovirens,1453,bodha_grass_present_no_fire,clonal offspring,,"13.84578011,78.44865076",518.6365967,4.288,90,1.1,3,5,none,uuid:65cc4ceb-42ae-43e1-9f3e-daae5612fa8f,uuid:65cc4ceb-42ae-43e1-9f3e-daae5612fa8f/sapling_repeat[12],APC4bodha_grass_present_no_fire
APC3,Chloroxylon swietenia,1304,all_burnt,clonal offspring,,"13.82822893,78.4129917",468.9816895,4.288,90,1.2,5,0.5,none,uuid:9dabc10a-b600-4608-9698-a8ccb38fe0e4,uuid:9dabc10a-b600-4608-9698-a8ccb38fe0e4/sapling_repeat[5],APC3all_burnt
APA21,Wrightia tinctoria,4950,bodha_grass_removed_no_fire,clonal offspring,,"14.0085842,78.32100089",508.6052246,3.216,90,1.3,5,7,none,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637/sapling_repeat[2],APA21bodha_grass_removed_no_fire
APC8,Dalbergia paniculata,3722,bodha_grass_removed_no_fire,seedling recruitment,,"13.87383017,78.52806262",432,4.288,90,1.3,3,1,none,uuid:29d8362e-6fe7-465c-9c5d-61e347224d38,uuid:29d8362e-6fe7-465c-9c5d-61e347224d38/sapling_repeat[6],APC8bodha_grass_removed_no_fire
APA19,Chloroxylon swietenia,1030,bodha_grass_removed_no_fire,clonal offspring,,"14.050931666666667,78.32475500000001",553.5,4.8,90,1.4,5,3,none,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d,uuid:b534d176-bf85-411a-a5ae-8b722ebe957d/sapling_repeat[30],APA19bodha_grass_removed_no_fire
APC2,Tectona grandis,3747,bodha_grass_present_no_fire,seedling recruitment,,"13.89217722,78.48074591",459,4.288,90,1.4,6,3,none,uuid:1147bd0d-1f1e-4bad-8b10-9c6781d61a02,uuid:1147bd0d-1f1e-4bad-8b10-9c6781d61a02/sapling_repeat[2],APC2bodha_grass_present_no_fire
APC1,Acacia chundra,1042,bodha_grass_present_no_fire,clonal offspring,,"13.85034774,78.44376958",499.8048706,4.288,90,1.5,1,2.5,none,uuid:a332e100-79f6-41db-9d9f-0482892368f4,uuid:a332e100-79f6-41db-9d9f-0482892368f4/sapling_repeat[3],APC1bodha_grass_present_no_fire
