"","site","village","sci.name","tag.no","treatment","recruit.type","height","rcd","lat","long","altitude","disturbance"
"235","APC5_CPFA","APC5","Dolichandrone atrovirens",1374,"CPFA","seedling recruitment",70,1.4,"13.81480318","78.41887704",447.4458008,"none"
"236","APA19_CAFA","APA19","Chloroxylon swietenia",1004,"CAFA","seedling recruitment",70,1.5,"14.05089","78.32474833333335",577.2,"none"
"237","APA15_CPFA","APA15","Wrightia tinctoria",3867,"CPFA","clonal offspring",70,1.5,"14.07237513","78.36364221",407,"none"
"238","APC12_CPFA","APC12","Acacia chundra",4699,"CPFA","clonal offspring",70,1.6,"13.89266699","78.41403509",429,"none"
"239","APC5_CAFA","APC5","Dolichandrone atrovirens",1338,"CAFA","seedling recruitment",70,1.6,"13.80535613","78.41413805",489.0562744,"none"
"240","APC1_CPFA","APC1","Acacia chundra",1083,"CPFA","clonal offspring",70,1.7,"13.85044732","78.4428908",484.4133301,"none"
"241","APC7_CAFA","APC7","Dolichandrone atrovirens",4564,"CAFA","seedling recruitment",70,1.7,"13.94005134","78.49524796",474,"none"
"242","APC7_CAFA","APC7","Dolichandrone atrovirens",4556,"CAFA","seedling recruitment",70,1.7,"13.94021399","78.4954272",470,"none"
"243","APC6_CAFA","APC6","Dolichandrone atrovirens",1310,"CAFA","seedling recruitment",70,2.5,"13.93987319","78.49363149",467,"none"
"244","APC12_Control","APC12","Dolichandrone atrovirens",4956,"Control","clonal offspring",70,3.1,"13.86993715","78.41804973",433.2333984,"none"
"245","APA17_CAFA","APA17","Cassia fistula",4751,"CAFA","clonal offspring",69,0.9,"14.11854338","78.33438339",408.871582,"none"
"246","APC4_CPFA","APC4","Acacia chundra",1447,"CPFA","seedling recruitment",69,1.1,"13.8457647","78.44845487",506.6036377,"none"
"247","APC10_Control","APC10","Acacia chundra",4976,"Control","clonal offspring",68,0.5,"13.86194849","78.4334496",448.8086548,"none"
"248","APA1_CAFA","APA1","Cassia fistula",3458,"CAFA","clonal offspring",68,0.8,"14.06486","78.31964500000001",532.4,"none"
